赵一鸣,86,78,91
钱雨桐,92,88,94
孙浩然,75,69,80
李思涵,88,84,90
周子轩,63,71,68
吴佳怡,95,93,97
郑明哲,81,76,85
王梓萱,70,74,72
冯宇航,89,82,87
陈若琳,77,80,79
褚嘉豪,66,64,70
卫诗涵,91,89,92
蒋晨曦,84,86,88
沈文博,72,68,75
韩依诺,98,95,99
杨俊熙,79,83,81
朱可欣,87,90,86
秦泽宇,60,58,65
尤心怡,93,91,95
许天佑,82,77,84
何雨欣,76,72,78
吕承泽,85,88,83
施雅婷,69,73,71
张景行,90,87,89
孔梦瑶,74,79,76
曹睿哲,83,81,86
严欣妍,96,94,98
华子墨,67,70,69
金思源,80,85,82
魏雨泽,73,67,74
陶芷晴,89,92,90
姜昊宇,78,75,77
戚语嫣,94,90,93
谢博文,71,76,73
邹沐辰,86,84,88
喻晨阳,65,62,66
柏欣悦,91,93,92
水泽凯,82,80,79
窦若曦,88,86,91
章逸凡,77,73,75
云书瑶,99,96,100
苏景辰,68,72,70
潘思远,84,79,83
葛梦琪,79,82,80
奚俊杰,90,85,88
范可馨,73,77,76
彭皓轩,87,89,85
郎诗雨,62,66,64
鲁子昂,81,83,84
韦佳宁,92,90,91
昌明轩,76,70,74
马梓涵,85,87,86
苗文昊,70,65,72
凤雨晴,93,95,94
花亦辰,78,81,79
方若彤,88,84,87
俞浩宇,64,69,67
任思琪,97,94,96
袁嘉诚,83,78,82
柳欣然,75,79,77
鲍子涵,89,91,90
史俊豪,67,63,68
唐诗琪,86,88,85
费宇轩,72,74,73
廉雅萱,91,87,92
岑皓然,80,76,81
薛雨涵,95,92,94
雷承恩,69,71,70
贺思妤,84,86,85
倪嘉言,77,75,78
汤子悦,90,93,91
滕昊然,66,68,65
殷梦涵,87,82,89
罗宇辰,73,70,76
毕欣怡,92,89,93
郝文轩,81,84,80
邬佳乐,74,78,75
安若宁,98,97,99
常景瑞,61,64,63
乐芷萱,85,83,87
于泽林,79,77,81
时雨桐,88,90,89
傅明远,71,69,72
皮嘉怡,94,91,95
卞子骞,82,85,84
齐梦洁,76,80,78
康晨宇,90,88,92
伍思远,65,67,66
余佳音,86,89,88
元浩轩,78,74,79
卜若彤,93,96,94
顾天成,72,75,73
孟欣妍,89,87,90
平子豪,68,66,69
黄诗涵,96,93,97
和宇航,83,81,82
穆雅琪,75,78,77
萧景然,91,94,92
尹思源,80,82,83
姚可欣,87,85,86
