姓名，平时成绩，期中成绩，期末成绩，总评成绩
赵一鸣,86,78,91,86.6
钱雨桐,92,88,94,92.0
孙浩然,75,69,80,76.2
李思涵,88,84,90,88.0
周子轩,63,71,68,68.4
吴佳怡,95,93,97,95.6
郑明哲,81,76,85,81.9
王梓萱,70,74,72,72.4
冯宇航,89,82,87,85.7
陈若琳,77,80,79,79.1
褚嘉豪,66,64,70,67.8
卫诗涵,91,89,92,91.0
蒋晨曦,84,86,88,87.0
沈文博,72,68,75,72.6
韩依诺,98,95,99,97.7
杨俊熙,79,83,81,81.4
朱可欣,87,90,86,87.3
秦泽宇,60,58,65,62.4
尤心怡,93,91,95,93.6
许天佑,82,77,84,81.7
何雨欣,76,72,78,76.0
吕承泽,85,88,83,84.7
施雅婷,69,73,71,71.4
张景行,90,87,89,88.5
孔梦瑶,74,79,76,76.7
曹睿哲,83,81,86,84.2
严欣妍,96,94,98,96.6
华子墨,67,70,69,69.1
金思源,80,85,82,82.7
魏雨泽,73,67,74,71.8
陶芷晴,89,92,90,90.5
姜昊宇,78,75,77,76.5
戚语嫣,94,90,93,92.2
谢博文,71,76,73,73.7
邹沐辰,86,84,88,86.6
喻晨阳,65,62,66,64.7
柏欣悦,91,93,92,92.2
水泽凯,82,80,79,79.6
窦若曦,88,86,91,89.2
章逸凡,77,73,75,74.6
云书瑶,99,96,100,98.7
苏景辰,68,72,70,70.4
潘思远,84,79,83,81.9
葛梦琪,79,82,80,80.5
奚俊杰,90,85,88,87.3
范可馨,73,77,76,76.0
彭皓轩,87,89,85,86.4
郎诗雨,62,66,64,64.4
鲁子昂,81,83,84,83.4
韦佳宁,92,90,91,90.8
昌明轩,76,70,74,73.0
马梓涵,85,87,86,86.2
苗文昊,70,65,72,69.7
凤雨晴,93,95,94,94.2
花亦辰,78,81,79,79.5
方若彤,88,84,87,86.2
俞浩宇,64,69,67,67.3
任思琪,97,94,96,95.5
袁嘉诚,83,78,82,80.9
柳欣然,75,79,77,77.4
鲍子涵,89,91,90,90.2
史俊豪,67,63,68,66.4
唐诗琪,86,88,85,86.0
费宇轩,72,74,73,73.2
廉雅萱,91,87,92,90.4
岑皓然,80,76,81,79.4
薛雨涵,95,92,94,93.5
雷承恩,69,71,70,70.2
贺思妤,84,86,85,85.2
倪嘉言,77,75,78,77.0
汤子悦,90,93,91,91.5
滕昊然,66,68,65,66.0
殷梦涵,87,82,89,86.7
罗宇辰,73,70,76,73.9
毕欣怡,92,89,93,91.7
郝文轩,81,84,80,81.3
邬佳乐,74,78,75,75.8
安若宁,98,97,99,98.3
常景瑞,61,64,63,63.1
乐芷萱,85,83,87,85.6
于泽林,79,77,81,79.6
时雨桐,88,90,89,89.2
傅明远,71,69,72,71.0
皮嘉怡,94,91,95,93.7
卞子骞,82,85,84,84.1
齐梦洁,76,80,78,78.4
康晨宇,90,88,92,90.6
伍思远,65,67,66,66.2
余佳音,86,89,88,88.1
元浩轩,78,74,79,77.4
卜若彤,93,96,94,94.5
顾天成,72,75,73,73.5
孟欣妍,89,87,90,89.0
平子豪,68,66,69,68.0
黄诗涵,96,93,97,95.7
和宇航,83,81,82,81.8
穆雅琪,75,78,77,77.1
萧景然,91,94,92,92.5
尹思源,80,82,83,82.4
姚可欣,87,85,86,85.8
90分以上人数：24
80-89分人数：34
70-79分人数：29
60-69分人数：13
不及格人数：0
